Name	Cluster
de nayer instituut	Catholic University of Leuven
de nayer instituut hogeschool	None
de nayer instituut hogeschool voor wetenschap en kunst	None
de nayer instituut in st kat waver	Catholic University of Leuven
de nayer instituut lessius sint katelijne waver	Catholic University of Leuven
de nayer instituut sint katelijne waver	Catholic University of Leuven
de nayer instituut st kat waver	Catholic University of Leuven
de nayer instituut te sint katelijne waver	Catholic University of Leuven
de nayer kat waver	None
de nayer mechelen	None
de nayer sint katelijne waver	None
de nayer st katelijke waver	None
de nayersinstituut	Catholic University of Leuven
den nayer sint kateline waver	None
denayer	None
denayer instituut	Catholic University of Leuven
denayer instituut mechelen	Catholic University of Leuven
denayer instituut sint kathelijne waver	Catholic University of Leuven
denayer instituut st katelijnewaver	Catholic University of Leuven
denayer sint katelijne waver	None
denayerinstituut sint katelijne waver	Catholic University of Leuven
don bosco te hoboken antwerpen	None
e h s a l brussel	None
ecam brussel	Free University of Brussels
ecam brussels	None
ecam brussels engineering	None
ecam brussels engineering school	None
echo khleuven	Catholic University of Leuven
ecole centrale des arts et metiers brussel	None
ecole des cadres namur	None
ecole polytechnique de louvain	None
ecole polytechnique de louvain la neuve	None
ecole polytechnique de louvain option aeronautique	None
ecole polytechnique de louvain uclouvain	None
ecole provinciale d aide medicale urgente	None
ecole superieure des affaires namur	None
economic high school saint aloysius brussels belgium	None
egon gent	None
ehb vub	Free University of Brussels
ehsal brussel	None
ehsal europese hogeschool brussel	None
ehsal management school brussels	None
encora antwerpen	None
enseignement superieur namur	None
epfc brussel	None
epfc cvo brussel	None
ephec brussel	None
erasmus brussel hogent	None
erasmus hoge school brussel	None
erasmus hogeschool brussel	None
erasmus hogeschool brussel dept iwt	None
erasmus university college brussels	None
erasmushogeschool brussel	None
erasmushogeschool brussel kaho st lieven gent	None
erasmushogeschool brussel rits	None
european school of brussels	None
european school of brussels iii	None
european university college brussels ehsal	None
europese hogeschool brussel	None
faculte plytechnique de mons	None
faculte politechnique mons	None
faculte polyrechnique de mons	None
faculte polytechnique de mons	None
faculte polytechnique mons	None
facultes polytechniques de mons	None
faculty of applied sciences mons fpms	None
faculty of engineering of mons university belgium	None
faculté polytechnique de mons	None
faculté polytechnique de mons umons	None
faculté polytechnique de mons umons faculté de médecine umons	None
facultés universitaires catholiques de mons	None
fakulta stavební vysokého učení technického v brně	None
femb louvain la neuve	None
filmschool narafi brussel	None
fiscale hogeschool brussel	None
forem mons	None
free technical school antwerp	None
fucam mons	None
fundp namur	None
garac argenteuil	None
geel ku leuven	Catholic University of Leuven
gent	None
gent aalst	None
gent bme	None
gent bmi	None
gent cvo	None
gent ihrs	None
gent u	None
gent unif	None
gent universiteit	University of Ghent
gent universiteit belgie	None
go centrum voor volwassenenonderwijs antwerpen	None
groep hogeschool leuven	None
groep t campus vesalius leuven	Catholic University of Leuven
groep t hogeschool leuven	Catholic University of Leuven
groep t in leuven	Catholic University of Leuven
groep t internationale hogeschool leuven	Catholic University of Leuven
groep t kuleuven	Catholic University of Leuven
groep t leuven	Catholic University of Leuven
groep t leuven engineering school	Catholic University of Leuven
groep t leuven hogeschool	Catholic University of Leuven
groep t te leuven	Catholic University of Leuven
groept hogeschool leuven	None
groept ku leuven	Catholic University of Leuven
groept leuven	Catholic University of Leuven
groept leuven engineering college	Catholic University of Leuven
groept t leuven	Catholic University of Leuven
group t faculteit industriële ingenieurswetenschappen kuleuven	None
group t leuven	Catholic University of Leuven
groupt leuven	Catholic University of Leuven
h i t a antwerp belgium	None
h r i t h o gent	None
h r i t o hasselt	None
h t i sint lieven gent	None
h t instituut kardinaal mercier brussel	None
ha hoge school antwerpen paardenmarkt	None
handelshogeschool antwerpen	None
hasselt	None
hasselt en leuven	None
hasselt university	University of Hasselt
haute ecole de louvain en hainaut	None
haute ecole louvain en hainaut	None
haute ecole louvain en hainaut helha	None
haute ecole namur	None
haute ecole roi baudoin mons	None
haute ecole roi baudouin isic ht mons	None
haute école de namur liège luxembourg hénallux	None
he leonard de vinci ecam brussel	None
he reine astrid mons	None
heilig drievuldigheidscollege leuven	None
heilig hart hasselt	None
heilige drievuldigheidscollege at leuven	None
heilige drievuldigheidscollege leuven	None
helha haute école louvain en hainaut	None
helha isicht mons	None
helha mons	None
henry vande velde instituut antwerpen	None
hi st lieven gent	None
hidn de nayer mechelen	None
higro gent	None
hih de nayer	None
hirl leuven	None
hl hasselt	None
hlto hasselt step	None
ho gent	None
hoge school antwerpen	None
hoge school gent	None
hoge school gent campus bijloke	None
hoge school universiteit brussel	None
hogenschool antwerpen	None
hogent	None
hogent bme	None
hogent bme ctl	None
hogent campus schoonmeersen	None
hogent indertijd nog hogeschool ipv unief	None
hogent industriele wetenschappen bme ctl	None
hogent unief gent	None
hoger rijksinstituut brussel	None
hoger rijksinstituut voor chemie en voedingsindustrieen gent	None
hogere zeevaartschool antwerpen	None
hogeschool antwerpen	None
hogeschool antwerpen artesis	None
hogeschool antwerpen belgium	None
hogeschool antwerpen campus mechelen	None
hogeschool antwerpen campus paardenmarkt	None
hogeschool antwerpen campus siveho	None
hogeschool antwerpen campus turnhout	None
hogeschool antwerpen dep ontwerpwetenschappen	None
hogeschool antwerpen departement iwt	None
hogeschool antwerpen departement mechele	None
hogeschool antwerpen departement mechelen	None
hogeschool antwerpen henry vandevelde	None
hogeschool antwerpen iham	None
hogeschool antwerpen paardemarkt	None
hogeschool antwerpen paardenmarkt	None
hogeschool bme gent	None
hogeschool bme te gent	None
hogeschool brussel	None
hogeschool de nayer sint katelijn	None
hogeschool gent	None
hogeschool gent afdeling bedrijfskunde aalst	None
hogeschool gent bbme	None
hogeschool gent binf	None
hogeschool gent bme	None
hogeschool gent bme ctl	None
hogeschool gent campus b m e	None
hogeschool gent campus bme	None
hogeschool gent campus bme ctl	None
hogeschool gent campus ctl bme	None
hogeschool gent campus melle	None
hogeschool gent dep biot	None
hogeschool gent departement aalst	None
hogeschool gent departement best in aalst	None
hogeschool gent hogent	None
hogeschool limburg hasselt	None
hogeschool limburg hasselt xios	None
hogeschool prov antwerpen	None
hogeschool provincie antwerpen campus boom	None
hogeschool sint lukas brussel	None
hogeschool universiteit brussel	None
hogeschool vd provincie antwerpen	None
hogeschool voor wetenschap en kunst campus de nayer sint katelijne waver	None
hogeschool voor wetenschap en kunst denayer erasmus	None
hogeschool voor wetenschap en kust campus de nayer	None
hogeschool wetenschap en kunst in brussel	None
hogschool gent	None
hogte school limburg hasselt	None
honim brussel	None
hripb gent	None
hritho gent	None
hrito hasselt	None
hrito te hasselt	None
hste gent	None
hti qt lieven gent	None
hti sint lieven gent	None
hti st lieven gent	None
htisa gent	None
hub former ehsal brussel	None
hub kubrussel	None
huis van het nederlands brussel	None
hzs antwerp	None
i h a m antwerpen	None
i h b m e gent	None
i h s r b m e gent	None
i h s r gent	None
i l t k u l leuven	Catholic University of Leuven
i s i c ht mons	None
i s i c mons	None
i s i mons	None
iag louvain la neuve	None
iag universite catholique de louvain	None
ibm brussel	None
icc brussels	None
ichec brussels management school	None
ichec brussels school of management	None
icrc brussels	None
iczo antwerp instituut voor complementair zorg onderwijs	None
iesn namur	None
ih bme gent	None
ih groep te leuven	Catholic University of Leuven
iham antwerp	None
iham antwerpen	None
iham antwerpen nu artesis hogeschool	None
iham hogeschool antwerpen	None
iham paardemarkt antwerpen	None
ihb brussels	None
ihbr brussel	None
ihgl hasselt	None
ihgl hasselt xios	None
ihr bme gent	None
ihr brussel	None
ihr gent	None
ihr hasselt mol	None
ihrb industriele hogeschool brussel	None
ihrh hasselt	None
ihsr bme gent	None
ihsr ctl gent	None
ihsr gent	None
ihsr voskeslaan gent	None
ilt kuleuven	Catholic University of Leuven
imov gent	None
ind hogeschool bme gent	None
ind hogeschool ctl gent	None
ind hogeschool ctl te gent	None
ind hogeschool te gent en ulb	None
ind hogeschool v h rijk ctl gent	None
ind hogeschool v het rijk c t l gent	None
ind hogeschool van het rijk brussel	None
ind hogeschool vh rijk c t l gent	None
ind hogeschool vh rijk hasselt	None
industiele hogeschool gent	None
industrieel hogeschool hasselt	None
industrieel ingenieur elektro mechanica ontwerp gent	None
industriele hoge school gent bme	None
industriele hogeschool antwerpen	None
industriele hogeschool antwerpen iham	None
industriele hogeschool antwerpen mechele	None
industriele hogeschool antwerpen mechelen	None
industriele hogeschool brussel	None
industriele hogeschool brussel erasmus	None
industriele hogeschool gent	None
industriele hogeschool groep t leuven	None
industriele hogeschool hasselt	None
industriele hogeschool te brussel	None
industriele hogeschool van het rijk gent	None
industriele hogeschool van het rijk hasselt	None
industriele hogeschool van het rijk te hasselt	None
industriële hogeschool antwerpen	None
industriële hogeschool antwerpen mechelen	None
industrtiele hogeschool antwerpen	None
informazout cedicol vzw brussel	None
ingenieurshuis antwerpen	None
initialis mons	None
inst d enseignement superieur de namur	None
institut paul henri spaak isib brussel	None
institut paul lambin brussels belgium	None
institut reine astrid mons	None
institut saint aubain namur	None
institut saint jean baptiste de la salle brussels belgium	None
institut saint louis namur	Catholic University of Leuven
institut superieur industriel catholique de mons	None
institut superieur industriel de mons	None
institut superieur saint luc reine astrid a mons	None
institut supérieur d architecture à mons	None
institut supérieur industriel catholique in mons charleroi	None
institut supérieur industriel de mons	None
institut supérieur industriel à mons isim s	None
institut technique de namur	Catholic University of Leuven
institute industriële hogeschool antwerpen mechelen	None
institute of transport and maritime management antwerp university of antwerp	None
intec brussel	None
intec brussels	None
intecbrussel	None
international school of brussels	None
inventi sales academy antwerpen	None
iral st luc a mons	None
iram mons	None
isalt brussel	None
isec high school brussels	None
isei instituto superior de ensenanza de informatica santa rosa la pampa argentinie	None
ishr gent	None
isib namur	None
isic a mons	None
isic mons	None
isich mons	None
isicht a mons	None
isicht mons haute ecole roi baudouin	None
isim campus de mons	None
isim mons	None
isim s mons	None
isimons	None
isims mons	None
isisc mons	None
k h de nayer st katelijne waver	None
k i h de nayer	None
k i h de nayer st katelijne waver	None
k i h groep t leuven	Catholic University of Leuven
k i h o gent	None
k u l leuven	Catholic University of Leuven
k u leuven	Catholic University of Leuven
ka2 de ring leuven	None
ka2 ring leuven	None
ka3 gent	None
kaho campus instituut te gent	None
kaho departement kiho gent	None
kaho gent	None
kaho gent odisee	None
kaho sint lieben in gent	None
kaho sint lieven campus rabot gent	None
kaho sint lieven gent	None
kaho sint lieven gent campus rabot	None
kaho sint lieven ing gent	None
kaho sint lieven te gent	None
kaho sint_lieven gent	None
kaho st lieven dept kiho gent	None
kaho st lieven gent	None
kaho stl lieven gent	None
kahosl gent	None
kamer voor handel en nijverheid van brussel	None
kardinaal mercier brussel	None
kardinaal mercierinst brussel	None
karel de gr0te hogeschool antwerpen	None
karel de grote antwerp	None
karel de grote antwerpen	None
karel de grote hogeschool antwerpen	None
karel de grote hogeschool katholieke hogeschool antwerpen	None
karel de grote school antwerpen	None
kask gent	None
kath hogeschool groep t leuven	Catholic University of Leuven
kath industriele hogeschool groept leuven	None
katho associatie kuleuven	Catholic University of Leuven
katho st lieven gent	None
kathoieke universiteit leuven	Catholic University of Leuven
kathokieke industriele hogeschool antwerpen	None
katholic universiteit leuven	Catholic University of Leuven
katholieke hogereschool sint lieven gent	None
katholieke hogeschool antwerpen	None
katholieke hogeschool de nayer st kat waver	None
katholieke hogeschool gent	None
katholieke hogeschool leuven	None
katholieke hogeschool leuven khleuven leuven university college	Catholic University of Leuven
katholieke hogeschool sint lieven gent	None
katholieke industriele hogeschool antwerpen	None
katholieke industriele hogeschool gent	None
katholieke industriele hogeschool hasselt	None
katholieke industriële hogeschool de nayer	None
katholieke universiteit brussel	None
katholieke universiteit leuven	Catholic University of Leuven
katholieke universiteit leuven k u leuven	Catholic University of Leuven
katholieke universiteit van leuven	Catholic University of Leuven
kdg antwerpen	None
kdg hogeschool antwerpen	None
kdh antwerpen	None
kh leuven	Catholic University of Leuven
kh sint lieven gent	None
khl leuven	Catholic University of Leuven
khl leuven departement rega	None
khleuven	Catholic University of Leuven
khleuven departement rega	Catholic University of Leuven
khlim hasselt	None
kho sint lieven gent	None
kih de nayer	None
kih de nayer in sint katelijne waver	None
kih de nayer mechelen	None
kih de nayer mechelen geel	None
kih de nayer sint kat waver	None
kih de nayer sint katelijne waver	None
kih denayer	None
kih groep t leuven	Catholic University of Leuven
kih oostende groep t leuven	Catholic University of Leuven
kih sint lieven gent	None
kiha antwerpen	None
kihb leuven groep t	Catholic University of Leuven
kihdn de nayer	None
kihl hasselt	None
kiho aalst gent	None
kiho gent	None
kiho kaho gent	None
kiho sint lievens gent	None
kisp gent	None
klu leuven	Catholic University of Leuven
kms i s m erasmushogeschool brussel	None
koninklijk atheneum hasselt	None
koninklijk atheneum redingenhof leuven	None
koninklijke academie gent	None
kta gent	None
kta i hasselt	None
ku leuven	Catholic University of Leuven
ku leuven afdeling gent	None
ku leuven arenberg	None
ku leuven belgium	None
ku leuven campus	Catholic University of Leuven
ku leuven campus brugge	None
ku leuven campus geel	None
ku leuven campus groep t	Catholic University of Leuven
ku leuven campus groept	Catholic University of Leuven
ku leuven campus oostende	None
ku leuven camus gent	Catholic University of Leuven
ku leuven faculteit industriële ingenieurswetenschappen campus de nayer	None
ku leuven faculteit industriële ingenieurswetenschappen campus groep t leuven	None
ku leuven faculteit industriële ingenieurswetenschappen technologiecampus gent	None
ku leuven faculty of engineering technology	None
ku leuven faculty of engineering technology de nayer campus	None
ku leuven faculty of engineering technology ghent technology campus	None
ku leuven faculty of engineering technology group t leuven campus	None
ku leuven geel	Catholic University of Leuven
ku leuven gent	None
ku leuven technologiecampus geel	None
ku leuven technologiecampus oostende	None
kul	Catholic University of Leuven
kul afdeling kortrijk	None
kul and vub	None
kul artesis	None
kul campus geel	None
kul leuven	Catholic University of Leuven
kul niet afgewerkt wegens legerdienst	None
kul sint lucas gent	None
kulak	None
kulak kortrijk	None
kulak ku leuven academie kortrijk	None
kuleuven	Catholic University of Leuven
kuleuven belgie en trinity college dublin ierland	None
kuleuven campus groept	Catholic University of Leuven
kuleuven en uhasselt	None
kuleuven groept	Catholic University of Leuven
kuleuven kulak	Catholic University of Leuven
kuleuven technologiecampus gent	None
kuleuven ugent	None
kunstacademy hasselt	None
kvk antwerpen	None
la polythec de mons	None
language centre of leuven	None
lbc antwerpen	None
lemmensinstituut leuven	Catholic University of Leuven
lessius antwerpen	None
lessius college university kuleuven associated	Catholic University of Leuven
lessius de nayer	Catholic University of Leuven
lessius hogeschool antwerpen	None
lessius hogeschool campus denayer	None
lessius mechelen campus de nayer	None
leuven	None
limburgs productiviteitscentrum hasselt	None
limburgs universitair centrum luc universiteit hasselt	None
limob hasselt	None
lindelei gent	None
lingopolis antwerpen	None
linguapolis antwerpen	None
linguapolis universiteit antwerpen	None
louvain	None
louvain la neuve	None
louvain school of engineering	None
louvain school of management	None
louvain school of management lsm universite catholique de louvain ucl	None
louvain school of management ucl	None
lucina vormingsinstituut kul	Catholic University of Leuven
lycée de nogent sur marne	None
lycée martin v louvain la neuve	None
lycée romain rolland argenteuil	None
ma go antwerpen	None
maritime academy of antwerp	None
mble gent	None
mebs okulu ve egitim merkezi komutanligi	None
mercator hogeschool gent	None
miniemeninstituut leuven	Catholic University of Leuven
mons	None
namur	None
narafi brussel	None
nautical college antwerp	None
nautical school antwerp	None
nautical school in antwerpen	None
nayer	None
nayer sint katelijne waver	None
nayerinstituut	Catholic University of Leuven
ocmw antwerpen	None
odisee gent	None
odisee hogeschool gent	None
odysee gent	None
odysses hogeschool gent	None
olvc antwerp	None
onze lieve vrouw college antwerpen	None
onze lieve vrouwe college antwerpen	None
onze lieve vrouwecollege antwerpen	None
optie informatica vub	None
orthodox theologisch instituut heilige johannes de theoloog gent	None
paridaens instituut leuven	Catholic University of Leuven
pcvo hasselt	None
perspectief gent	None
pestalozzi antwerpen	None
phhi hasselt	None
phitc antwerpen	None
phl hasselt	None
phl hasselt volwassenonderwijs 1440 lestijden	None
phl hogeschool hasselt	None
phti gent	None
pih kortrijk en erasmushogeschool brussel	None
piho gent	None
pina antwerpen	None
pius x instituut antwerpen	None
piva antwerpen	None
plantijn hogeschool van de provincie antwerpen	None
plantijnhogeschool van de provincie antwerpen	None
pnl leuven	None
politechnique mons	None
polyrechnique de mons	None
polytech de mons	None
polytech mons	None
polytechique de mons	None
polytechnic faculty of mons	None
polytechnic school of brussels	None
polytechnique de mons	None
polytechnique mons	None
polytechnische school louvain la neuve	None
polythec de mons	None
pontificia universidad católica argentina santa maría de los buenos aires	None
poznan university of technology polen gent universiteit belgie	None
premed leuven	None
provinciale handelsschool hasselt	None
provincie antwerpen	None
provincie antwerpen meistraat antwerpen	None
pvco gent	None
pvi antwerpen	None
pxl hasselt	None
r u gent	None
rabot gent	None
race car erasmus hogeschool brussel	None
redingenhof leuven	None
rega instituut leuven	Catholic University of Leuven
rega leuven	None
rega school leuven	None
rhitho gent	None
right management hasselt	None
rijksschool gent	None
rijksuniversiteit gent	None
rijksuniversiteit gent rug ir	None
rijksuniverstiteit gent	None
rits erasmushogeschool brussel	None
royal conservatory brussels	None
ru gent	None
ruca antwerp	None
ruca antwerpen	None
rug gent	None
rugent	None
sae brussel	Free University of Brussels
sae brussels	None
sae insitute brussel	None
sae institute brussels	None
sae instituut brussel	None
saint michel college brussel	None
sbm gent	None
scientifique contingent	None
sint barbaracollege gent	None
sint eligiusinst antwerpen	None
sint henricusinstituut te antwerpen	None
sint jan berchmanscollege antwerpen	None
sint jan berchmanscollege brussel	None
sint lieven gent	None
sint lievens college antwerpen	None
sint lievens gent	None
sint lievenscollege gent	None
sint lodewijck instituut antwerpen	None
sint lodewijk antwerpen	None
sint lodewijk antwerpen nu karel de grote	None
sint lodewijksinstituut antwerpen	None
sint lucas antwerpen	None
sint lucas gent	None
sint lucas hogeschool brussel	None
sint lukas brussel	None
sint lukas in brussel	None
sint pieters college leuven	None
sint pieterscollege leuven	None
sint pietersinstituut gent	None
siveho antwerpen	None
sjb univ leuven	None
slac conservatorium leuven	Catholic University of Leuven
slba bkr antwerp business school	None
sociale hogeschool gent	None
sociale promotie antwerpen	None
solvay brussels school	None
solvay brussels school of economics and management	None
solvay business school vub	None
spw namur	None
st louis namur	None
st lucas brussel	None
st lucas cevora brussel	None
st lucas gent	None
staatsexamen brussel	None
stedelijk academie hasselt	None
stedelijk hoger instituut te antwerpen	None
stedelijke normaalschool antwerpen	None
stedellijk centrum voor volwassenen onderwijs antwerpen	None
steinerschool leuven de zonnewijzer	None
step hasselt	None
superior industrial institute of brussels	None
syntra antwerpen en vlaams brabant	None
syntra antwerpen en vlaams brabant syntra ab	None
syntra brussel	None
syntra brussels	None
syntra gent	None
syntra hasselt	None
syntra hasselt avondschool	None
syntra leuven	None
syntra provincies antwerpen en vlaams brabant v z w gegeven te heverlee	None
syntra te hasselt s maa	None
technical instituut gent oostakker	None
technical school of antwerp	None
technicum antwerp	None
technicum antwerpen	None
technicum londenstraat antwerp	None
technicum londenstraat antwerpen	None
technicum noord antwerpen	None
technisch instituut gent	None
technisch instituut h hart hasselt	None
technisch instituut heilig hart hasselt	None
technofutur a gosselies mons	None
technologie campus te gent	None
temata groep t leuven	Catholic University of Leuven
temata group t leuven	Catholic University of Leuven
tholt antwerpen	None
thomas moore sint katelijne waver de nayer	None
thomas more campus de nayer	None
thomas more campus de nayer formerly known as lessius hogeschool de nayer instituut	None
thomas more campus denayer sint katelijne waver	None
thomas more de nayer	None
thomas more denayer	None
thomas more ku leuven	Catholic University of Leuven
thomas more mechelen 3j graduaat hasselt 1j thomas more mechelen voor bachelor	None
thomas more mechelen antwerpen	None
tihh hasselt	None
tna antwerpen	None
u gent	None
u hasselt	None
ua hogeschool antwerpen	None
uams antwerpen	None
uc leuven	Catholic University of Leuven
uc leuven limburg	None
ucl 4 jaar kul 1 jaar	None
ucl kul	Catholic University of Leuven
ucl louvain la neuve	None
ucl mons	None
ucl universite catholique de louvain la neuve	Catholic University of Leuven
ucl univesite catholique de louvain la neuve	Catholic University of Leuven
uclouvain	None
uclouvain université catholique de louvain	None
ufsia universiteit antwerpen	None
ugent	None
ugent ctl gent	None
ugent omgezet	None
uhasselt	None
uhasselt diepenbeek	None
uhasselt kuleuven	None
uia antwerpen	None
ukkel brussel leuven gent	None
ulb vub	Free University of Brussels
umons	None
unamur universite de namur	None
unief gent	None
unif gent	None
univ gent	University of Ghent
univ hasselt en tu eindhoven	None
univ hasselt ism ku leuven	None
universitair centrum antwerpen	None
universitair gent	None
universitaire instelling antwerpe uia	None
universite catholique de louvain	None
universite catholique de louvain la neuv	Catholic University of Leuven
universite catholique de louvain la neuve	Catholic University of Leuven
universite catholique de louvain u c l	Catholic University of Leuven
universite catholique de louvain ucl	None
universite catholique de louvaine	None
universite chatolique de louvain	Catholic University of Leuven
universite de louvain la neuve	None
universite de mons	None
universite de mons hainaut	None
universite de namur	None
universite mons	None
universiteit antwerpen	None
universiteit antwerpen management school	None
universiteit antwerpen ruca	None
universiteit gent	University of Ghent
universiteit gent campus kortrijk	None
universiteit gent campus schoonmeersen	None
universiteit gent ugent	University of Ghent
universiteit hasselt	University of Hasselt
universiteit hasselt xios	None
universiteit in gent	None
universiteit leuven	None
universiteit mons	None
universiteit ruca antwerpen	None
universiteit van antwerpen	None
universiteit van gent	None
universiteit van leuven	None
universiteit van louvain la neuve	None
university college at antwerp lessius	None
university college de nayer	None
university gent	University of Ghent
university hasselt	University of Hasselt
university leuven	None
university of antwerp	University of Antwerp
university of antwerp management school	None
university of antwerp ruca belgium	None
university of antwerp ufsia	None
university of brussels	Free University of Brussels
university of leuven	None
university of leuven kul	Catholic University of Leuven
university of liège louvain school of management solvay entrepreneurs	None
university of louvain ucl belgium	None
university of namur	None
university saint louis brussels	None
université catholique de louvain	None
université catholique de louvain la neuve	Catholic University of Leuven
université de mons hainaut	None
université de namur	None
universteit gent	University of Ghent
universtiteit antwerpen management school	None
univesite de mons	None
uz leuven	None
vdab antwerpen	None
veiligheidsinstitutuut antwerpen	Catholic University of Leuven
verick management school leuven gent	None
virga jessecollege hasselt	None
vizo centrum hasselt	None
vizo hasselt	None
vlaamse universiteit brussel vub	Free University of Brussels
vlekho brussel	None
vlekho business school brussel	None
vlerick leuven	None
vlerick leuven gent management school	None
vlerick leuven gent management school siemens	None
vlerick leuven ghent management school	None
vrij technisch instituut vti leuven	None
vrije universiteit brussel	Free University of Brussels
vti leuven	Catholic University of Leuven
vts technicum antwerp	None
vts technicum antwerpen	None
vts technicum londestraat antwerpen	None
vtst antwerpen	None
vub	Free University of Brussels
vub brussel	Free University of Brussels
vub en kul	None
vub et universite d anvers	None
vub kuleuven	None
w k dep de nayer	None
xaverius college antwerpen	None
xios hasselt	None
xios hogeschool hasselt	None
zeemanschool antwerpen	None
zeevaartschool antwerpen	None
